BV,av,title,pubtime,tag,up,fans,length,view,danmu,review,favorite
BV1ZE411X7k6,69619634,当你的视频被全校公开处刑 是什么黄金体验？,Tue Oct  1 16:26:35 2019,"生活,高能,学习,记录,VLOG,校园",爆走短路,250000,409,5866689,5304,2052,25673
BV1x7411i7au,83908288,【半佛】买不起奢侈品就是穷人吗？不，是聪明人,Sat Jan 18 11:00:48 2020,"寒假Vlog-一起学习吧,时尚,品牌,日常,消费,科技,奢侈品,防骗,学习,生活",硬核的半佛仙人,3916000,1718,5863045,41741,22210,341260
BV1fJ411379G,68412699,在军训学生面前喝冰镇可乐差点被教练打,Sat Sep 21 12:00:27 2019,"开学大作战,恶搞,原创,校园,沙雕,生活,某布君,全程高能,VLOG,搞笑",某布君,1155000,537,5859523,12660,5055,60050
BV1JJ411W79G,80559251,中国BOY超级白嫖怪！阴阳怪气陪你过圣诞节！,Wed Dec 25 20:00:58 2019,"30天vlog挑战,自制,VLOG,火锅,某幻,老番茄,花少北,LexBurner,圣诞节,生活",中国BOY超级大猩猩,5419000,4320,5859090,139528,8928,177457
BV1ht411T7HP,62649117,这下玩脱了吧！中国小伙在日本买了2本杂志藏家里，被日本女友发现后...『kei和marin』,Wed Aug  7 20:35:08 2019,"暑期爆肝挑战,VLOG,中日情侣,日语,生活,日本,整蛊,恶搞",kei和marin,1381000,432,5847909,19378,6109,50784
BV1bE411N7nV,97769398,信誓蛋蛋尝试搭建世界上最能隔离病毒的房子！,Fri Mar 20 09:26:13 2020,"VLOG,信誓蛋蛋,病毒,房子,世界",信誓蛋蛋,4823000,1102,5822578,49074,45174,84588
BV1ra4y1x7Uj,667750997,我被B站威胁了,Mon Apr 20 12:11:31 2020,"VLOG,哔哩哔哩,搞笑,高能,凉风Kaze,tool凉,解谜,悬疑,推理",凉风Kaze,6387000,736,5821192,90094,13540,74094
BV1NJ411i733,78128190,约见日本第一牛郎！夜王罗兰当前，一女子竟面不改色……,Thu Dec  5 18:30:57 2019,"全能打卡挑战,高能,萌妹子,VLOG,日本,牛郎,罗兰",纳豆奶奶,4121000,1019,5783270,12495,15851,78728
BV17J411p7iR,82973948,万万没想到！敬汉卿被特警抓捕现场,Sat Jan 11 20:30:52 2020,"我的职业故事,原创,VLOG,教育,特警,四川,普法",中国长安网,256000,445,5773377,20752,8398,60292
BV1ia4y1x7n5,667769441,美国疫情还在爆发，为何民众开始持枪闹复工？,Tue Apr 21 13:20:21 2020,"VLOG的一百种可能,VLOG,歪果仁,新冠肺炎,美国,疫情",我是郭杰瑞,5092000,515,5720877,110772,32582,33344
BV1WJ411i7cZ,78192525,我伪装成了外卖小哥，偷拍揭秘某些外卖到底有多「脏」！,Fri Dec  6 00:19:32 2019,"生活,外卖,自制,生活记录,VLOG,外卖小哥,饿了么,美团,高能",燃茶哥哥在此,1153000,958,5718689,23377,20859,110419
BV1K7411b7vQ,87688949,父 慈 子 孝,Sun Feb  9 10:39:55 2020,"搞笑视频,恶搞,奇葩,逗比,恶作剧,生活,搞笑,vlog,小潮,沙雕",小潮院长,3163000,453,5686955,55526,6156,78090
BV1yJ411w71u,67659862,日本超大的战斧牛排，中国男子作死挑战，结果…,Sat Sep 14 18:35:16 2019,"萌新UP报到,美食圈,生活,美食侦探,深夜报社,vlog,战斧牛排,日本,吃货,牛排",孤独的美食基,2909000,504,5619130,33161,4142,46706
BV19z411q7Go,200731108,拿姐怀孕了？我真的慌了！！,Wed May 20 10:30:44 2020,"520大声说爱,VLOG,生活,情侣,LOVE,恋爱,啊吗粽,搞笑,520,拿姐",啊吗粽,2514000,1036,5608736,153385,33295,217080
BV15J411C7Rr,79033145,【老番茄】我去做建筑师(?)了！,Fri Dec 13 12:00:30 2019,"圣诞怎么玩,乐高,生活,VLOG,积木,玩具,老番茄,自制,LEGO,搞笑",老番茄,11468000,715,5568004,24643,2995,53417
BV1Mt411F7Zd,61703021,在外拍vlog，大妈想讹我，说我偷拍 砸我相机，我直接送她去警局！,Thu Aug  1 13:54:46 2019,"日常,生活,东尼ookii,相机",东尼ookii,2635000,1137,5524890,82150,20597,62972
BV1UE411S7vn,70046175,验证：女生在日本街头被搭讪的几率是100%？一女子大胆尝试竟....,Fri Oct  4 19:36:50 2019,"vlog爱拍挑战,搭讪,萌妹子,恋爱,生活记录,约会,VLOG,日本,日本妹子",纳豆奶奶,4121000,657,5499116,37325,7390,46177
BV1y7411w7Vg,90607539,偷偷在门背后贴满图钉和气球，女朋友开门之后...,Fri Feb 21 18:19:09 2020,"搞笑竞技大赛,整蛊,女朋友,高能,搞笑视频,自制,生活,VLOG,记录",雨哥到处跑,1219000,618,5492910,36238,4832,26981
BV1974113736,88754278,太善良了，没有一点杂质，这是多少男人梦寐以求的女生！！,Thu Feb 13 22:31:32 2020,"VLOG,记录,高能,生活记录,女神,女生",长白山小野猪,31000,100,5465135,12533,5683,41225
BV1vE411f7jb,70710615,【老番茄】我去做小管家啦！,Thu Oct 10 20:00:41 2019,"生活,自制,VLOG,老番茄,管家,搞笑,OPPO,Reno Ace",老番茄,11468000,745,5455737,42699,5135,43642
BV1LJ411k7Zq,79339347,龙啸当古董来鉴宝 几代人传下来的！,Sun Dec 15 13:49:56 2019,"30天vlog挑战,搞笑视频,搞笑,鉴宝,娱乐",鉴明鉴定,5671,53,5449265,4684,6557,57970
BV15E411A7Bo,97828850,我们的在线云婚礼~,Sat Mar 21 02:31:24 2020,"VLOG,生活记录,自制,婚礼,结婚,爱情",刘文超Vin,170000,5836,5436330,169300,32719,105741
BV1R5411t7gY,455335979,不要“做”挑战？（第五期）,Tue Apr 14 21:57:40 2020,"搞笑挑战,小潮,搞笑,搞笑视频,逗比,生活,vlog,日常,桌游,沙雕",小潮院长,3163000,846,5432191,41280,7588,71774
BV1i7411e7hP,84599855,【艾叔】陆家嘴8000万，中国企业家的豪宅长什么样,Thu Jan 23 11:55:02 2020,"bilibili新星计划,VLOG,陆家嘴,装修,豪宅,房地产,室内设计,家居,摄影,趣味人文科普",小艾大叔,1345000,1151,5359860,78346,8158,144322
BV1Z4411A7xT,55364722,小伙点差评最多的外卖，想看下到底有多难吃，结果吃到怀疑人生,Wed Jun 12 17:43:10 2019,"美食,吃货,试吃,外卖,小吃,Vlog,炒饭,奇葩",翔翔大作战,6033000,754,5312806,21269,4250,9561
BV12Z4y1W7wz,370459837,不要“做”挑战？（第六期｜联动版）,Sun Apr 26 20:11:47 2020,"逗比,搞笑,搞笑视频,沙雕,vlog,小潮,桌游,生活,日常,啊吗粽,力元君,吃素的狮子",小潮院长,3163000,738,5280523,22727,6245,60097
BV18J411c7KC,67904809,【老番茄】我潜入谷歌了！,Mon Sep 16 20:00:32 2019,"GOOGLE,谷歌,生活,学习,VLOG,老番茄,搞笑",老番茄,11468000,807,5261137,34249,5847,68533
BV1Ff4y1U7ah,285617335,谋 权 篡 位 3,Thu May  7 19:45:16 2020,"沙雕日常,逗比,沙雕,搞笑,小潮,奇葩,生活,恶搞,恶作剧,VLOG",小潮院长,3163000,939,5207537,62857,9713,82558
BV1Xt411h7N4,40961299,尝试把100瓶“果粒橙”过滤后，到底能有多少果粒？,Thu Jan 17 17:23:24 2019,"美食,吃货,vlog,生活,自制,搞笑,果粒橙,饮料,沙雕实验,果粒",王咩阿,1524000,409,5203134,13390,8334,22889
BV1YK4y1C7CU,882566744,【何同学】一只鸽子的自白,Tue Mar 31 20:49:10 2020,"器材,教程,vlog,鸽子,摄影,原创,自制,日常",老师好我叫何同学,4421000,751,5198569,93685,23467,218949
BV1KJ411C78G,78978541,我应该是全B站年纪最小到达十万粉的up主了吧,Thu Dec 12 17:56:08 2019,"30天vlog挑战,生活日常VLOG,十万粉丝银电视开箱,VLOG,生活记录,哔哩哔哩",低调上传,346000,1050,5057521,39473,11673,27611
BV1me411p7tb,243074793,谁是内鬼挑战！,Sun May 10 18:10:15 2020,"沙雕日常,VLOG,生活记录,内鬼,游戏,花少北,老番茄,某幻君,中国BOY,谁是内鬼,lexburner",中国BOY超级大猩猩,5419000,919,5040466,61359,14959,135799
